LM Positive,LM Negative,ML Positive,ML Negative,NEAR climate,NEAR sustainability,NEAR diversity,NEAR litigation,NEAR fraud,NEAR bankruptcy,Filing Date,Number of Words,Number of Unique Words
0,0,1530,1398,0.000106676148991,1.777935816517024e-05,0.0001955729398168,0.0003911458796337,8.889679082585119e-05,0.0,,56245,5484
0,0,1532,1622,7.193856446594609e-05,0.0,8.99232055824326e-05,0.0003237235400967,5.3953923349459565e-05,0.0,,55603,5154
0,0,1124,1270,1.9208236491807687e-05,1.9208236491807687e-05,0.0001152494189508,0.0004417894393115,7.683294596723075e-05,0.0,,52061,5045
0,0,1887,2052,0.0001090138914844,0.0002491746091073,6.229365227683299e-05,0.0002180277829689,6.229365227683299e-05,0.0,,64212,5255
0,0,1528,1859,8.933357155619081e-05,1.488892859269847e-05,0.0001488892859269,0.0002382228574831,4.4666785778095405e-05,2.977785718539694e-05,,67164,5193
0,0,827,798,5.915409642117717e-05,2.9577048210588585e-05,2.9577048210588585e-05,8.873114463176575e-05,8.873114463176575e-05,2.9577048210588585e-05,,33810,3801
0,0,2838,3577,8.632054742921715e-05,7.847322493565196e-06,3.1389289974260783e-05,0.0001490991273777,2.3541967480695588e-05,0.0001569464498713,,127432,7707
0,0,1133,842,0.0,0.0,8.918816473054026e-05,4.459408236527013e-05,4.459408236527013e-05,2.2297041182635064e-05,,44849,4548
0,0,1216,1394,1.6244314489928523e-05,0.0,9.746588693957116e-05,0.0004548408057179,0.0001137102014294,0.0,,61560,5886
0,0,1963,2420,3.92505756751099e-05,7.85011513502198e-05,9.158467657525644e-05,0.0007850115135021,6.541762612518317e-05,0.0,,76432,6384
0,0,1453,1245,0.0001347371662849,0.0002309779993455,0.0002309779993455,0.0003464669990183,9.624083306065097e-05,0.0,,51953,5169
0,0,1302,1407,0.0001168201553708,0.0001362901812659,0.0001947002589513,0.0002531103366367,3.894005179026888e-05,0.0,,51361,4911
0,0,844,845,6.15214248361992e-05,6.15214248361992e-05,0.0,0.0004921713986895,6.15214248361992e-05,3.07607124180996e-05,,32509,4105
0,0,2277,2552,5.818520350274925e-05,0.0001260679409226,3.87901356684995e-05,0.0002036482122596,1.939506783424975e-05,0.0,,103119,6835
0,0,1236,1218,8.618460742911317e-05,0.0002800999741446,6.463845557183487e-05,0.00023700767043,6.463845557183487e-05,4.309230371455658e-05,,46412,4962
0,0,390,437,0.0,0.0,0.0,0.0003141690229343,0.0001047230076447,0.0,,19098,2608
0,0,1141,1020,0.0,0.0,0.0002739552820685,0.0002739552820685,6.322044970813226e-05,0.0,,47453,4780
0,0,1800,2045,0.0002073756610099,2.3041740112213278e-05,9.21669604488531e-05,9.21669604488531e-05,4.608348022442655e-05,4.608348022442655e-05,,86799,6485
0,0,2649,2809,0.0005422726152329,0.0001889737901569,3.2865006983813983e-05,4.108125872976748e-05,3.2865006983813983e-05,9.859502095144196e-05,,121710,8319
0,0,1445,1528,3.311971119611837e-05,4.9679566794177554e-05,0.0001159189891864,0.0005133555235398,4.9679566794177554e-05,0.0,,60387,5684
